time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-19T10:10:18.624Z,18.5365,145.6294,203.686,4.5,mb,94,79,3.281,0.63,us,us7000n08b,2024-07-19T10:58:55.040Z,"Pagan region, Northern Mariana Islands",earthquake,9.83,7.29,0.048,124,reviewed,us,us
2024-07-19T09:55:40.456Z,-32.0966,-71.8713,32.447,4.4,mb,33,148,0.763,0.74,us,us7000n083,2024-07-19T15:42:57.532Z,"72 km WNW of La Ligua, Chile",earthquake,4.32,2.285,0.179,9,reviewed,us,us
2024-07-19T08:20:39.706Z,-20.4704,-69.1672,103.009,4.2,mb,20,87,0.328,0.36,us,us7000n07s,2024-07-19T08:40:09.040Z,"53 km ESE of La Tirana, Chile",earthquake,4.74,7.662,0.131,16,reviewed,us,us
2024-07-19T06:49:59.256Z,-3.3983,139.1793,58.467,4.4,mb,31,80,1.757,1.15,us,us7000n079,2024-07-19T07:08:28.040Z,"184 km WSW of Abepura, Indonesia",earthquake,5.85,7.881,0.112,23,reviewed,us,us
2024-07-19T06:19:32.228Z,6.8516,123.6817,17.256,4.9,mb,52,49,1.896,1.11,us,us7000n077,2024-07-19T06:58:30.040Z,"37 km W of Gadung, Philippines",earthquake,8.04,4.473,0.067,71,reviewed,us,us
2024-07-19T05:47:42.268Z,-23.3092,-67.821,147.318,4.4,mb,30,120,0.485,0.91,us,us7000n074,2024-07-19T06:08:32.040Z,"58 km SE of San Pedro de Atacama, Chile",earthquake,9.35,5.782,0.117,21,reviewed,us,us
2024-07-19T05:00:06.780Z,40.1118,-119.7555,14.8,2.6,ml,20,100.01000000000002,0.061,0.1535,nn,nn00881143,2024-07-20T05:30:11.040Z,"22 km NW of Sutcliffe, Nevada",earthquake,,1.2,0.17,8,reviewed,nn,nn
2024-07-19T04:51:33.338Z,-3.97,143.1568,35,4.5,mb,18,156,2.844,0.85,us,us7000n06v,2024-07-19T05:20:39.040Z,"46 km NE of Ambunti, Papua New Guinea",earthquake,13.74,1.953,0.163,12,reviewed,us,us
2024-07-19T04:33:32.179Z,61.3318,-147.5693,20.1,2.9,ml,,,,0.55,ak,ak02498hlmsf,2024-07-19T04:44:00.040Z,"53 km S of Glacier View, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-07-19T04:12:30.486Z,32.151,-101.055,8.9355,2.5,ml,13,70,0.2,0.1,tx,tx2024obsy,2024-07-19T12:13:25.375Z,"22 km S of Westbrook, Texas",earthquake,0.8007194547582646,2.374865874366324,0.2,31,reviewed,tx,tx
